OrderID,CustomerName,Gender,Category,SubCategory,City,OrderDate,Day,Region,Sales,Profit
OD1,Harish,Male,Oil & Masala,Masalas,Vellore,11.08.2017,Friday,North,1254,401
OD2,Sudha,Female,Beverages,Health Drinks,Krishnagiri,11.08.2017,Friday,South,749,150
OD3,Hussain,Male,Food Grains,Atta & Flour,Perambalur,6.12.2017,Wednesday,West,2360,165
OD4,Jackson,Male,Fruits & Veggies,Fresh Vegetables,Dharmapuri,10.11.2016,Thursday,South,896,90
OD5,Ridhesh,Male,Food Grains,Organic Staples,Ooty,10.11.2016,Thursday,South,2355,918
OD6,Adavan,Male,Food Grains,Organic Staples,Dharmapuri,6.09.2015,Sunday,West,2305,323
OD7,Jonas,Male,Fruits & Veggies,Fresh Vegetables,Trichy,6.09.2015,Sunday,West,826,347
OD8,Hafiz,Male,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,6.09.2015,Sunday,West,1847,148
OD9,Hafiz,Male,Bakery,Biscuits,Tirunelveli,6.09.2015,Sunday,West,791,182
OD10,Krithika,Female,Bakery,Cakes,Chennai,6.09.2015,Sunday,West,1795,485
OD11,Ganesh,Male,Snacks,Chocolates,Karur,6.09.2015,Sunday,West,1903,438
OD12,Yadav,Male,Eggs & Meat & Fish,Eggs,Namakkal,6.09.2015,Sunday,West,701,308
OD13,Sharon,Female,Snacks,Cookies,Dindigul,15.04.2028,Saturday,South,1659,315
OD14,Peer,Male,Fruits & Veggies,Fresh Vegetables,Kanyakumari,12.05.2017,Friday,West,1277,64
OD15,Sundar,Male,Eggs & Meat & Fish,Chicken,Kanyakumari,22.11.2016,Tuesday,Central,831,208
OD16,Ramesh,Male,Oil & Masala,Edible Oil & Ghee,Krishnagiri,22.11.2016,Tuesday,Central,1440,101
OD17,Alan,Male,Bakery,Cakes,Dharmapuri,11.11.2015,Wednesday,Central,1678,319
OD18,Arutra,Male,Beverages,Health Drinks,Bodi,13.05.2015,Wednesday,West,1617,113
OD19,Haseena,Female,Eggs & Meat & Fish,Mutton,Tenkasi,27.08.2015,Thursday,West,1757,387
OD20,Verma,Male,Beverages,Soft Drinks,Kanyakumari,27.08.2015,Thursday,West,692,159
OD21,Hafiz,Male,Beverages,Health Drinks,Vellore,27.08.2015,Thursday,West,522,209
OD22,Alan,Male,Food Grains,Dals & Pulses,Karur,12.09.2017,Tuesday,Central,948,47
OD23,Haseena,Female,Beverages,Soft Drinks,Krishnagiri,12.09.2017,Tuesday,Central,707,148
OD24,Alan,Male,Fruits & Veggies,Organic Vegetables,Tenkasi,16.07.2018,Monday,East,969,78
OD25,Sharon,Female,Eggs & Meat & Fish,Eggs,Ooty,25.09.2016,Sunday,West,1100,495
OD26,Krithika,Female,Snacks,Chocolates,Tirunelveli,16.01.2017,Monday,West,2022,202
OD27,Muneer,Male,Snacks,Cookies,Trichy,16.01.2017,Monday,West,541,43
OD28,Jackson,Male,Bakery,Biscuits,Viluppuram,17.09.2016,Saturday,East,979,401
OD29,Veronica,Female,Beverages,Soft Drinks,Krishnagiri,17.09.2016,Saturday,East,1988,875
OD30,Shah,Male,Oil & Masala,Masalas,Kanyakumari,17.09.2016,Saturday,East,989,69
OD31,Ramesh,Male,Beverages,Soft Drinks,Dharmapuri,17.09.2016,Saturday,East,1845,166
OD32,Mathew,Male,Snacks,Noodles,Vellore,17.09.2016,Saturday,East,1400,420
OD33,Akash,Male,Oil & Masala,Edible Oil & Ghee,Trichy,17.09.2016,Saturday,East,2163,671
OD34,Anu,Female,Oil & Masala,Masalas,Madurai,17.09.2016,Saturday,East,1689,338
OD35,Anu,Female,Beverages,Health Drinks,Vellore,19.10.2018,Friday,Central,809,81
OD36,Sabeela,Female,Eggs & Meat & Fish,Eggs,Tirunelveli,12.08.2017,Saturday,Central,1265,569
OD37,James,Male,Beverages,Soft Drinks,Salem,12.08.2017,Saturday,Central,934,56
OD38,Willams,Male,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,27.12.2016,Tuesday,Central,1354,447
OD39,Jonas,Male,Fruits & Veggies,Fresh Fruits,Chennai,27.12.2016,Tuesday,Central,1751,280
OD40,Sabeela,Female,Eggs & Meat & Fish,Chicken,Cumbum,27.12.2016,Tuesday,Central,2045,879
OD41,Malik,Male,Beverages,Health Drinks,Namakkal,27.12.2016,Tuesday,Central,660,92
OD42,Arutra,Male,Beverages,Soft Drinks,Salem,9.10.2018,Tuesday,Central,1868,616
OD43,Sharon,Female,Snacks,Cookies,Bodi,17.07.2017,Monday,West,1017,346
OD44,Mathew,Male,Snacks,Cookies,Dharmapuri,19.09.2018,Wednesday,South,2311,1040
OD45,Amrish,Male,Bakery,Biscuits,Krishnagiri,3.11.2017,Friday,Central,1663,732
OD46,Vince,Male,Eggs & Meat & Fish,Eggs,Madurai,3.11.2017,Friday,Central,1420,355
OD47,Suresh,Male,Fruits & Veggies,Organic Vegetables,Nagercoil,20.10.2015,Tuesday,Central,1415,509
OD48,Mathew,Male,Snacks,Noodles,Chennai,20.06.2017,Tuesday,East,1488,610
OD49,Ridhesh,Male,Snacks,Noodles,Pudukottai,20.06.2017,Tuesday,East,726,44
OD50,Amrish,Male,Bakery,Cakes,Ooty,18.04.2016,Monday,Central,1259,415
OD51,Esther,Female,Beverages,Soft Drinks,Salem,18.04.2016,Monday,Central,902,153
OD52,Shah,Male,Beverages,Soft Drinks,Salem,18.04.2016,Monday,Central,2306,553
OD53,Sudha,Female,Bakery,Cakes,Theni,18.04.2016,Monday,Central,1417,99
OD54,Yusuf,Male,Fruits & Veggies,Fresh Vegetables,Madurai,12.11.2017,Sunday,East,627,182
OD55,Esther,Female,Fruits & Veggies,Organic Fruits,Nagercoil,12.11.2017,Sunday,East,760,61
OD56,Muneer,Male,Food Grains,Atta & Flour,Salem,17.06.2017,Saturday,East,2350,611
OD57,Komal,Female,Eggs & Meat & Fish,Fish,Krishnagiri,17.06.2017,Saturday,East,1179,271
OD58,Veena,Female,Food Grains,Dals & Pulses,Trichy,17.06.2017,Saturday,East,1624,195
OD59,Sharon,Female,Eggs & Meat & Fish,Mutton,Trichy,17.06.2017,Saturday,East,1316,421
OD60,Shree,Female,Beverages,Health Drinks,Coimbatore,17.06.2017,Saturday,East,2121,679
OD61,Roshan,Male,Oil & Masala,Masalas,Virudhunagar,17.06.2017,Saturday,East,1428,271
OD62,Willams,Male,Snacks,Noodles,Perambalur,17.06.2017,Saturday,East,706,289
OD63,Sudeep,Male,Eggs & Meat & Fish,Fish,Dharmapuri,24.11.2016,Thursday,West,921,184
OD64,Yusuf,Male,Fruits & Veggies,Fresh Fruits,Trichy,24.11.2016,Thursday,West,1741,662
OD65,Willams,Male,Eggs & Meat & Fish,Eggs,Madurai,24.11.2016,Thursday,West,607,200
OD66,Muneer,Male,Eggs & Meat & Fish,Mutton,Tirunelveli,24.11.2016,Thursday,West,1824,766
OD67,Vinne,Male,Food Grains,Atta & Flour,Madurai,30.04.2016,Saturday,Central,1368,383
OD68,Roshan,Male,Fruits & Veggies,Fresh Vegetables,Pudukottai,12.05.2015,Tuesday,West,1160,510
OD69,Ramesh,Male,Food Grains,Atta & Flour,Viluppuram,12.05.2015,Tuesday,West,1294,78
OD70,Peer,Male,Oil & Masala,Masalas,Ooty,6.04.2017,Thursday,South,1232,554
